Ligand,Affinity,Receptor
Ligand_0167.pdbqt,-4.668,6C12
Ligand_0195.pdbqt,-4.662,6C12
Ligand_0194.pdbqt,-4.654,6C12
Ligand_0069.pdbqt,-4.654,6C12
Ligand_0093.pdbqt,-4.649,6C12
Ligand_0222.pdbqt,-4.648,6C12
Ligand_0176.pdbqt,-4.644,6C12
Ligand_0193.pdbqt,-4.643,6C12
Ligand_0202.pdbqt,-4.639,6C12
Ligand_0243.pdbqt,-4.626,6C12
Ligand_0070.pdbqt,-4.606,6C12
Ligand_0161.pdbqt,-4.604,6C12
Ligand_0080.pdbqt,-4.594,6C12
Ligand_0042.pdbqt,-4.594,6C12
Ligand_0008.pdbqt,-4.579,6C12
Ligand_0009.pdbqt,-4.575,6C12
Ligand_0215.pdbqt,-4.565,6C12
Ligand_0081.pdbqt,-4.537,6C12
Ligand_0129.pdbqt,-4.521,6C12
Ligand_0207.pdbqt,-4.496,6C12
Ligand_0107.pdbqt,-4.494,6C12
Ligand_0186.pdbqt,-4.484,6C12
Ligand_0166.pdbqt,-4.478,6C12
Ligand_0118.pdbqt,-4.474,6C12
Ligand_0208.pdbqt,-4.448,6C12
Ligand_0225.pdbqt,-4.375,6C12
Ligand_0209.pdbqt,-4.356,6C12
Ligand_0121.pdbqt,-4.34,6C12
Ligand_0114.pdbqt,-4.326,6C12
Ligand_0116.pdbqt,-4.322,6C12
Ligand_0091.pdbqt,-4.309,6C12
Ligand_0043.pdbqt,-4.304,6C12
Ligand_0041.pdbqt,-4.298,6C12
Ligand_0108.pdbqt,-4.282,6C12
Ligand_0039.pdbqt,-4.27,6C12
Ligand_0067.pdbqt,-4.247,6C12
Ligand_0221.pdbqt,-4.235,6C12
Ligand_0168.pdbqt,-4.186,6C12
Ligand_0077.pdbqt,-4.185,6C12
Ligand_0178.pdbqt,-4.176,6C12
Ligand_0090.pdbqt,-4.171,6C12
Ligand_0062.pdbqt,-4.155,6C12
Ligand_0078.pdbqt,-4.144,6C12
Ligand_0098.pdbqt,-4.139,6C12
Ligand_0113.pdbqt,-4.133,6C12
Ligand_0156.pdbqt,-4.123,6C12
Ligand_0066.pdbqt,-4.122,6C12
Ligand_0092.pdbqt,-4.12,6C12
Ligand_0112.pdbqt,-4.107,6C12
Ligand_0145.pdbqt,-4.069,6C12
Ligand_0089.pdbqt,-4.048,6C12
Ligand_0190.pdbqt,-4.041,6C12
Ligand_0184.pdbqt,-4.034,6C12
Ligand_0060.pdbqt,-4.034,6C12
Ligand_0059.pdbqt,-4.014,6C12
Ligand_0040.pdbqt,-4.007,6C12
Ligand_0064.pdbqt,-3.998,6C12
Ligand_0157.pdbqt,-3.979,6C12
Ligand_0038.pdbqt,-3.952,6C12
Ligand_0075.pdbqt,-3.95,6C12
Ligand_0132.pdbqt,-3.942,6C12
Ligand_0063.pdbqt,-3.933,6C12
Ligand_0189.pdbqt,-3.922,6C12
Ligand_0119.pdbqt,-3.921,6C12
Ligand_0170.pdbqt,-3.882,6C12
Ligand_0074.pdbqt,-3.873,6C12
Ligand_0165.pdbqt,-3.865,6C12
Ligand_0210.pdbqt,-3.864,6C12
Ligand_0034.pdbqt,-3.845,6C12
Ligand_0076.pdbqt,-3.844,6C12
Ligand_0006.pdbqt,-3.836,6C12
Ligand_0033.pdbqt,-3.835,6C12
Ligand_0187.pdbqt,-3.795,6C12
Ligand_0198.pdbqt,-3.793,6C12
Ligand_0007.pdbqt,-3.776,6C12
Ligand_0111.pdbqt,-3.768,6C12
Ligand_0057.pdbqt,-3.737,6C12
Ligand_0002.pdbqt,-3.733,6C12
Ligand_0147.pdbqt,-3.73,6C12
Ligand_0100.pdbqt,-3.694,6C12
Ligand_0192.pdbqt,-3.69,6C12
Ligand_0188.pdbqt,-3.678,6C12
Ligand_0088.pdbqt,-3.638,6C12
Ligand_0146.pdbqt,-3.609,6C12
Ligand_0148.pdbqt,-3.588,6C12
Ligand_0197.pdbqt,-3.564,6C12
Ligand_0001.pdbqt,-3.561,6C12
Ligand_0004.pdbqt,-3.558,6C12
Ligand_0153.pdbqt,-3.538,6C12
Ligand_0037.pdbqt,-3.533,6C12
Ligand_0065.pdbqt,-3.529,6C12
Ligand_0144.pdbqt,-3.481,6C12
Ligand_0032.pdbqt,-3.429,6C12
Ligand_0151.pdbqt,-3.377,6C12
Ligand_0003.pdbqt,-3.357,6C12
Ligand_0061.pdbqt,-3.349,6C12
Ligand_0191.pdbqt,-3.319,6C12
Ligand_0005.pdbqt,-3.316,6C12
Ligand_0031.pdbqt,-3.304,6C12
Ligand_0026.pdbqt,-3.293,6C12
