Ligand,Affinity
Ligand_0200.pdbqt,0
Ligand_0201.pdbqt,0
Ligand_0202.pdbqt,0
Ligand_0203.pdbqt,0
Ligand_0204.pdbqt,0
Ligand_0205.pdbqt,0
Ligand_0206.pdbqt,0
Ligand_0207.pdbqt,0
Ligand_0208.pdbqt,0
Ligand_0209.pdbqt,0
Ligand_0210.pdbqt,0
Ligand_0211.pdbqt,0
Ligand_0212.pdbqt,0
Ligand_0213.pdbqt,0
Ligand_0214.pdbqt,0
Ligand_0215.pdbqt,0
Ligand_0216.pdbqt,0
Ligand_0217.pdbqt,0
Ligand_0218.pdbqt,0
Ligand_0219.pdbqt,0
Ligand_0220.pdbqt,0
Ligand_0221.pdbqt,0
Ligand_0222.pdbqt,0
Ligand_0223.pdbqt,0
Ligand_0224.pdbqt,0
Ligand_0225.pdbqt,0
Ligand_0226.pdbqt,0
Ligand_0227.pdbqt,0
Ligand_0228.pdbqt,0
Ligand_0229.pdbqt,0
Ligand_0230.pdbqt,0
Ligand_0231.pdbqt,0
Ligand_0232.pdbqt,0
Ligand_0233.pdbqt,0
Ligand_0234.pdbqt,0
Ligand_0235.pdbqt,0
Ligand_0236.pdbqt,0
Ligand_0237.pdbqt,0
Ligand_0238.pdbqt,0
Ligand_0239.pdbqt,0
Ligand_0240.pdbqt,0
Ligand_0241.pdbqt,0
Ligand_0242.pdbqt,0
Ligand_0243.pdbqt,0
Ligand_0244.pdbqt,0
Ligand_0245.pdbqt,0
Ligand_0246.pdbqt,0
Ligand_0247.pdbqt,0
Ligand_0248.pdbqt,0
Ligand_0249.pdbqt,0
Ligand_0250.pdbqt,0
Ligand_0251.pdbqt,0
Ligand_0252.pdbqt,0
Ligand_0253.pdbqt,0
Ligand_0254.pdbqt,0
Ligand_0255.pdbqt,0
Ligand_0256.pdbqt,0
Ligand_0257.pdbqt,0
