Ligand,Affinity
Ligand_0247.pdbqt,-0.1721
Ligand_0248.pdbqt,-0.1384
Ligand_0249.pdbqt,-0.2217
Ligand_0250.pdbqt,-0.2058
Ligand_0251.pdbqt,-0.2008
Ligand_0252.pdbqt,-0.2021
Ligand_0253.pdbqt,-0.2042
Ligand_0254.pdbqt,-0.1675
Ligand_0255.pdbqt,-0.132
Ligand_0256.pdbqt,-0.07522
Ligand_0257.pdbqt,-0.2305
